Year,biweekly,num_spp
2001,1,12
2001,2,16
2001,3,16
2001,4,16
2002,1,11
2002,2,15
2002,3,16
2002,4,16
2003,1,13
2003,2,15
2003,3,19
2003,4,19
2004,1,13
2004,2,16
2004,3,17
2004,4,19
2005,1,13
2005,2,14
2005,3,16
2005,4,16
2006,1,14
2006,2,14
2006,3,17
2006,4,17
2007,1,14
2007,2,15
2007,3,18
2007,4,19
2008,1,14
2008,2,17
2008,3,18
2008,4,20
2009,1,13
2009,2,17
2009,3,18
2009,4,18
2010,1,12
2010,2,14
2010,3,18
2010,4,16
2011,1,13
2011,2,17
2011,3,18
2011,4,20
2012,1,12
2012,2,18
2012,3,16
2012,4,16
2013,1,14
2013,2,14
2013,3,17
2013,4,19
2014,1,14
2014,2,14
2014,3,18
2014,4,17
2015,1,14
2015,2,16
2015,3,15
2015,4,16
2016,1,14
2016,2,19
2016,3,20
2016,4,21
2017,1,16
2017,2,20
2017,3,17
2017,4,21
2018,1,13
2018,2,16
2018,3,18
2018,4,19
